N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
7,718,1129,697,606,701,0,290,898,0,208,185,0,1015,1366
8,512,159,289,171,171,4,450,188,157,148,79,0,483,219
9,3437,2267,3658,3289,3261,0,2911,2956,1856,3028,3118,10526,6285,2326
10,390,325,316,91,310,6,0,176,250,83,45,6,149,231
11,206,69,46,50,38,0,229,0,75,56,54,0,173,52
12,3946,1014,735,1353,913,0,2679,1017,1133,0,1486,13,2365,1105
13,475,339,605,0,368,0,847,1063,784,1091,408,0,1549,0
14,434,0,316,148,322,0,356,266,134,205,178,0,513,265
15,3368,2506,2337,2945,1002,4996,2175,1738,3325,2369,3785,7357,3079,2371
16,217,225,252,206,173,0,400,0,317,256,45,0,553,142
17,144,59,66,36,67,0,140,47,50,69,0,0,140,49
18,4338,1000,1104,1223,1053,7,3438,1033,1142,1026,1090,4,3798,1119
19,1591,16,743,859,1178,0,1803,1170,947,1285,372,0,921,1217
20,339,151,115,101,77,0,332,76,192,111,231,2,407,267
21,5968,2966,3206,2789,2664,5897,4404,2342,3594,2609,2027,4928,6923,1948
22,313,0,258,69,105,0,0,364,97,328,251,10,0,128
23,152,48,80,81,51,0,161,55,70,39,62,0,168,72
24,3658,1083,1166,1342,969,15,2206,1130,1149,808,835,9,2708,977
25,980,671,463,1370,825,0,897,1042,0,641,303,0,0,1401
26,514,316,227,169,300,2,539,345,185,148,173,0,536,172
27,0,2477,3749,3093,6083,7293,4834,1418,3234,2393,4345,4245,5709,1410
28,291,223,177,321,250,1,223,429,0,176,239,1,206,401
29,143,57,63,65,27,0,240,68,55,57,61,0,147,61
30,2248,1041,977,1036,908,6,2465,0,914,1024,1051,0,0,1103
31,2009,7,304,747,429,0,2119,0,666,1038,538,0,0,0
32,431,0,82,102,152,2,424,213,145,0,275,0,477,222
33,3946,1947,0,2672,1485,5817,4026,2302,3500,3015,1518,8416,5216,1518
34,381,206,48,377,81,0,302,187,281,407,60,4,0,238
35,191,58,56,0,49,0,172,77,63,62,58,0,199,57
36,3342,1117,1100,1334,0,1,3798,1018,1051,1281,1414,8,3965,1233
37,932,583,0,652,710,0,941,54,473,167,515,0,936,151
38,470,140,184,145,134,1,390,288,235,105,269,0,476,106
39,989,2375,3635,2542,4902,9496,3500,1809,2817,2752,3574,2168,3471,2962
40,493,152,0,36,192,0,343,96,239,91,319,0,266,155
41,239,46,0,49,54,0,184,59,47,0,58,0,0,57
42,3779,1134,1497,1133,923,0,2866,1129,0,833,1271,0,3032,1048
43,1666,51,0,1108,595,0,0,369,962,545,434,0,2049,968
44,443,391,248,164,175,0,574,0,305,153,377,0,534,183
45,2251,1675,3248,2930,1249,10353,5489,1727,2319,3314,1402,0,0,1654
46,428,333,269,0,180,6,334,188,194,0,109,3,191,185
47,214,0,31,60,65,0,183,53,50,0,69,0,142,62
48,2769,1047,1604,1024,1376,1,3272,1025,1056,642,1507,6,2995,0
49,1698,490,0,0,527,0,991,851,840,1761,444,0,0,617
50,402,157,162,137,276,0,482,413,241,137,248,0,0,231
51,1152,2093,2804,3255,4971,5217,6817,1684,3789,3097,2144,0,5929,2819
52,160,0,275,0,232,0,42,217,0,337,273,4,0,182
53,168,0,0,57,70,0,170,54,58,45,48,0,199,58
54,2614,1169,1031,979,1121,4,815,1039,1230,1139,1109,6,2641,982
55,0,0,135,1221,886,0,849,0,1108,0,215,0,2005,860
56,524,222,154,113,199,1,532,123,242,89,231,0,503,218
57,4006,1415,2911,2863,3200,6269,3768,0,1688,2866,2915,0,5626,2770
58,236,277,214,284,195,0,0,175,177,384,140,3,338,86
59,171,57,51,54,55,0,154,58,67,57,62,0,0,63
60,3696,1028,734,1163,1193,12,3951,0,1277,1189,1121,0,2885,1147
61,1658,354,0,1165,757,0,0,646,0,0,322,0,674,0
62,473,314,0,98,207,0,612,149,146,151,266,1,350,312
63,2006,3017,2798,2152,1121,8929,1670,2410,2177,0,961,180,4311,1985
64,0,257,91,341,0,2,211,241,207,78,193,2,0,258
65,185,49,65,66,54,0,174,64,56,62,40,0,198,63
66,2476,1020,1203,1120,0,9,3415,1168,1203,1579,982,4,0,1067
67,0,459,525,833,739,0,455,0,328,1492,542,0,1104,0
68,394,0,295,173,155,1,477,285,218,125,0,1,485,200
69,933,1988,2455,0,2909,5127,2594,2280,2630,2578,4516,4796,0,2732
70,0,216,278,224,284,0,317,207,201,0,178,0,375,143
71,180,62,44,40,57,0,148,61,48,62,0,0,169,66
72,3441,1158,1252,1217,1066,7,0,1076,947,1167,1120,0,1828,961
73,944,880,0,1085,111,0,1376,0,0,721,0,0,0,589
74,452,234,190,114,384,2,516,205,233,191,302,4,409,0
75,4256,1755,2964,2656,1724,0,3793,1454,3362,2451,3094,7267,3772,0
76,326,76,246,301,243,3,474,170,297,0,164,2,230,110
77,159,56,83,67,46,0,209,54,51,77,0,0,155,0
78,3386,1041,991,1026,920,0,3497,1065,962,973,1168,2,2842,0
79,977,504,563,1000,294,0,32,58,846,538,351,0,2105,1015
80,488,0,190,158,271,1,531,274,133,88,138,0,424,274
81,5075,0,2618,2934,2071,7341,5932,0,0,2962,816,1787,0,2650
82,252,0,386,127,141,0,171,154,277,0,322,5,390,285
83,161,54,66,59,70,0,178,59,54,56,71,0,184,63
84,3780,1107,752,887,1097,9,3751,1040,1285,1166,1112,0,3680,1167
85,1999,239,1163,1351,973,0,1426,443,724,0,393,0,636,1633
86,463,264,241,130,329,3,577,96,244,124,129,3,437,0
87,4521,2619,2360,2835,3263,9108,6956,1895,3135,3167,2362,11394,4091,2448
88,404,165,0,149,86,5,623,200,258,193,141,1,530,0
89,195,56,43,67,63,0,172,47,58,67,55,0,181,68
90,1925,1098,1367,861,827,6,1811,1119,1083,1079,1425,0,3318,1185
91,1121,1377,356,720,679,0,834,1576,740,877,299,0,956,785
92,390,0,209,156,310,3,446,0,183,115,69,2,520,201
93,4861,2093,3158,2515,3403,3627,4384,3167,3530,2557,1802,5764,4318,2549
94,0,304,186,325,178,0,461,0,87,261,209,3,618,315
95,232,0,78,64,50,0,163,73,59,63,57,0,125,50
96,3764,1165,0,842,1513,0,3590,933,1184,1037,1160,3,3190,1068
97,587,555,611,0,356,0,1076,0,288,395,397,0,966,340
98,413,94,218,170,0,2,462,174,265,143,273,2,549,131
99,1338,1985,2656,0,3815,9500,3256,509,2254,2694,0,3802,4694,2116
100,302,228,0,166,158,3,444,193,355,153,75,2,0,282
101,164,72,71,69,55,0,149,64,49,0,53,0,123,49
102,2310,1128,979,1248,1204,2,2006,1124,1297,832,1019,0,2389,961
103,2022,302,245,517,676,0,1624,0,758,0,133,0,0,1058
104,452,120,135,0,152,0,432,242,290,85,301,0,446,317
105,4798,1505,2316,2455,566,14179,3682,2266,2790,2067,2943,9649,4909,1924
106,505,175,253,313,180,0,0,276,290,0,191,0,0,152
107,0,0,53,59,0,0,190,58,57,80,60,0,181,0
108,3088,1184,1457,0,1360,10,2308,0,1403,896,1439,0,2524,0
109,1468,1170,680,0,622,0,2490,681,339,0,233,0,3062,478
110,432,276,250,158,176,0,515,355,126,148,242,5,393,211
111,5217,2089,3532,0,3144,2547,6769,2097,2592,2569,3321,7960,5440,3272
112,305,242,240,109,162,0,147,257,305,393,112,0,402,247
113,158,54,46,64,53,0,214,51,62,49,34,0,165,61
114,2205,1318,777,1219,1497,5,3582,0,1037,749,698,0,2029,1117
115,989,742,704,484,0,0,0,0,506,1432,844,0,536,570
116,436,0,155,0,0,2,498,148,0,119,387,0,485,123
117,0,2916,1151,2946,1706,8716,2599,2666,2296,2807,0,5860,4761,1596
118,0,319,143,99,238,4,269,275,0,182,153,4,451,183
119,149,43,54,48,54,0,215,55,61,0,0,0,256,51
120,4180,1039,1111,1079,1582,9,3068,1124,1212,800,1446,1,3675,1168
121,863,268,0,465,293,0,2185,406,175,1126,553,0,752,0
122,464,251,235,183,208,0,404,187,111,142,118,2,471,271
123,4397,2245,2657,2600,0,7006,3646,2676,3653,2711,1763,2239,5679,1883
124,147,353,293,271,112,0,299,234,322,499,0,1,358,107
125,178,62,63,64,0,0,159,60,49,61,67,0,0,62
126,3868,1137,934,1054,1133,0,2536,1163,0,1015,1375,0,3944,1176
127,611,280,874,849,315,0,471,299,868,33,0,0,849,639
128,426,283,184,171,244,2,396,115,194,155,285,2,437,72
129,5125,1235,2026,2423,0,6571,3803,0,2972,2965,2460,8278,686,2219
130,299,378,316,364,112,0,276,274,267,367,190,2,287,0
131,142,56,61,0,67,0,133,65,52,41,60,0,192,71
132,4453,1015,1203,923,1125,4,3064,916,1264,1115,0,12,4014,1215
133,1792,848,780,650,494,0,0,197,632,751,728,0,104,202
134,580,60,109,124,0,0,326,329,139,152,301,1,534,203
135,4100,2021,1407,2990,0,8455,0,1888,2921,2184,0,3527,3559,2664
136,282,182,64,418,200,0,523,136,412,257,227,0,218,150
137,193,48,82,75,45,0,184,62,62,74,58,0,151,58
138,3944,1116,1315,904,1331,1,2612,1151,882,1105,1098,0,3529,1109
139,1342,1152,345,0,731,0,0,450,0,160,585,0,972,1640
140,391,84,158,0,174,3,526,228,192,161,309,0,460,121
141,4968,2804,2880,3295,3708,5478,3702,3654,3307,2721,0,7378,0,1558
142,248,147,98,0,252,0,0,123,102,205,254,1,190,163
143,168,62,43,76,60,0,0,50,31,56,58,0,213,59
144,4091,1103,1049,1217,1204,0,4456,1044,0,1283,1516,1,2531,1268
145,642,584,681,1243,763,0,669,725,0,1018,421,0,145,1394
146,418,107,289,0,248,2,494,171,167,171,217,0,551,209
147,5971,1984,0,0,2509,6674,2144,3453,3418,2990,566,6673,5922,2944
148,499,221,234,72,345,1,47,335,0,93,267,2,210,211
149,146,50,60,60,60,0,237,52,70,64,53,0,176,60
150,0,1055,831,0,1176,11,2617,1105,1058,1054,1081,8,4117,1191
151,94,0,551,650,611,0,909,1020,780,0,439,0,766,251
152,0,233,214,110,240,1,479,229,281,173,265,0,584,0
153,5633,0,1569,2853,3459,0,6644,2380,3259,2998,2180,5142,2857,1739
154,266,166,428,12,274,0,551,302,189,369,145,3,546,225
155,173,55,58,48,69,0,0,44,45,64,0,0,153,68
156,0,0,873,850,1270,0,3417,1146,914,655,1332,8,3133,1011
157,1495,0,226,0,445,0,726,0,473,0,374,0,1281,502
158,440,130,156,157,148,1,412,59,115,155,286,5,505,231
159,4238,1874,3252,2614,2713,0,2996,2569,3393,1986,0,9430,3892,3318
160,475,188,137,73,338,2,487,315,105,278,158,0,476,51
161,231,59,41,46,65,0,189,58,69,73,0,0,167,57
162,3080,901,1320,1289,1315,7,3467,1030,916,1229,1283,3,0,1145
163,221,938,373,668,0,0,1973,562,0,79,610,0,1558,702
164,483,268,193,90,306,0,488,226,157,142,422,3,511,139
165,5007,2641,3092,2812,3234,4350,4623,2926,2077,2461,235,0,3175,0
166,479,187,331,0,251,2,0,247,341,0,260,4,74,209
167,122,45,40,67,62,0,169,65,55,71,0,0,160,48
168,1489,1148,1158,1281,856,0,4566,1162,949,986,1280,3,4391,1040
