N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
7,587,419,736,944,536,0,1647,466,0,645,867,0,0,531
8,471,129,102,131,0,1,503,186,141,188,170,4,337,0
9,4361,2421,3730,2736,3231,1303,6504,2709,3783,3269,1638,0,2566,0
10,516,201,280,403,123,0,403,247,342,169,69,1,306,49
11,212,56,58,84,48,0,150,0,52,52,52,0,175,62
12,3624,1082,1201,1118,1150,5,3250,966,1032,970,1074,0,1716,988
13,66,550,627,130,158,0,1225,880,508,740,574,0,3358,603
14,495,0,174,148,0,0,434,185,234,135,336,0,379,294
15,4476,1868,2313,3086,2327,7320,4701,2387,2686,3346,1465,1598,5003,2595
16,0,99,203,98,0,3,231,138,239,240,181,0,520,190
17,204,58,0,61,53,0,198,73,54,52,65,0,0,56
18,3733,1089,1175,1207,1143,4,2396,1045,980,0,974,0,2108,1060
19,1391,0,301,0,92,0,1440,791,871,1125,7,0,1657,0
20,453,107,113,129,271,0,567,0,180,128,310,4,469,227
21,4556,2750,2748,2166,3393,4857,950,2081,3555,3030,3713,10337,3752,2243
22,266,219,153,323,244,4,372,244,93,60,312,3,482,0
23,108,63,57,38,55,0,174,56,63,63,53,0,172,53
24,3497,1267,956,726,1749,11,3239,971,1136,837,945,12,2936,1189
25,2364,447,667,446,865,0,124,428,674,576,251,0,1752,588
26,497,17,213,159,358,3,405,152,203,132,192,0,388,264
27,3324,3425,3042,0,4194,4125,4062,2701,2761,2864,245,5996,5551,2513
28,356,0,484,306,131,7,263,127,158,187,254,1,409,231
29,125,49,55,64,81,0,205,60,0,0,41,0,196,59
30,0,1028,1381,1081,1592,2,3990,1157,1480,1253,1170,0,2732,1165
31,319,360,665,49,612,0,2108,0,1005,611,710,0,1086,418
32,319,112,260,133,228,1,438,195,126,127,400,0,496,123
33,2977,1996,1561,3154,2791,5509,6421,1047,2308,2502,4798,8999,6438,2148
34,287,279,190,372,147,0,510,211,252,0,183,0,397,195
35,201,66,50,71,50,0,169,61,62,0,54,0,123,69
36,3100,1058,1157,923,0,0,0,1033,874,1065,991,10,3712,1213
37,531,494,605,168,617,0,1039,850,685,855,222,0,0,54
38,452,279,196,0,0,0,0,153,195,168,224,0,474,225
39,4799,1984,2653,3053,3693,6367,4538,1154,2974,0,3637,2424,5476,0
40,502,230,141,128,270,6,379,203,354,375,110,0,408,329
41,169,69,0,66,45,0,258,65,62,38,69,0,180,53
42,2537,1064,1099,0,1250,3,0,1097,0,1114,1236,3,3452,970
43,661,770,775,124,647,0,0,445,138,275,0,0,187,952
44,498,185,227,99,245,0,572,194,104,142,329,1,382,189
45,1568,1569,2640,3364,1673,2632,3277,3725,3399,0,1226,0,2531,2382
46,369,192,332,13,141,0,177,199,205,343,230,4,0,111
47,0,61,65,0,57,0,154,55,55,42,62,0,260,70
48,3797,1000,1018,1180,0,10,2876,1243,0,1326,1431,4,2502,1073
49,911,235,0,352,724,0,0,869,464,0,642,0,1740,844
50,469,171,108,0,119,0,518,355,221,0,269,0,505,100
51,3898,3547,3405,0,2139,834,2987,1271,2209,0,0,3011,3446,2310
52,273,257,141,282,220,0,252,264,143,304,95,1,0,274
53,202,0,57,0,48,0,202,62,70,57,50,0,171,53
54,3922,1117,883,1185,1197,2,4473,1265,1080,660,0,16,3844,1132
55,622,1201,791,1599,418,0,0,225,565,1105,631,0,1869,922
56,480,0,221,189,204,0,553,0,0,127,268,0,501,89
57,3742,1713,2528,3186,2078,4442,5771,2507,2343,2236,0,1884,3023,2745
58,417,0,202,0,228,1,56,120,287,299,297,3,225,167
59,192,62,46,69,49,0,0,59,55,42,60,0,139,49
60,3662,1148,988,1115,1109,11,0,1121,0,1130,999,8,4110,1085
61,1122,533,368,806,602,0,631,228,0,0,834,0,1834,863
62,481,179,245,126,79,3,468,65,205,95,288,0,549,64
63,0,3393,2695,3081,1819,12463,4331,2715,3794,2143,2021,5593,4603,1749
64,102,108,115,153,179,0,518,182,348,168,276,3,245,163
65,166,61,58,71,67,0,0,63,57,56,0,0,184,0
66,2844,969,1291,759,1117,8,2659,1169,1267,576,1593,9,2305,1046
67,749,349,0,925,984,0,1208,0,1225,471,0,0,1714,0
68,476,320,230,0,168,1,514,182,177,150,250,1,562,200
69,6021,1513,2625,3182,0,0,5030,2773,2858,2712,2774,10061,4536,2425
70,98,246,396,163,249,0,229,162,145,38,213,3,0,0
71,180,40,49,47,56,0,231,62,52,0,78,0,103,68
72,2312,1114,0,990,1119,0,2173,1050,1137,888,1198,0,2190,978
73,608,1596,633,852,682,0,339,865,570,407,374,0,1325,54
74,537,355,163,0,280,0,406,99,0,0,206,0,545,21
75,2849,1303,3330,2303,3201,6154,4850,1402,1869,0,2165,4043,3326,2441
76,474,367,106,0,266,3,82,56,269,382,113,0,521,0
77,90,56,61,72,58,0,0,56,58,0,62,0,117,54
78,3818,0,0,640,1489,0,2293,1140,1019,941,1247,2,2187,1133
79,741,553,520,652,454,0,0,852,450,839,730,0,1284,1121
80,502,0,294,117,243,4,507,190,302,115,131,0,516,224
81,0,2258,2706,2651,4103,4728,1632,1963,0,2109,3797,7232,5361,0
82,83,264,257,434,85,1,514,294,0,186,243,4,303,191
83,152,59,0,61,43,0,119,58,52,67,56,0,220,53
84,0,1022,1105,1346,1192,2,4324,1082,757,861,1020,3,3007,1105
85,0,88,516,1174,307,0,549,769,552,2356,330,0,1582,1008
86,417,45,172,135,0,0,382,345,121,189,342,0,0,153
87,4070,1895,2434,2610,2017,7512,4075,675,2766,2727,2199,10752,5091,2687
88,482,241,166,170,313,0,0,225,0,70,329,5,567,195
89,197,41,55,62,55,0,183,57,59,46,50,0,214,67
90,3395,1005,1462,1051,1370,0,2065,0,918,563,1218,0,3101,918
91,922,762,0,1072,0,0,848,1113,807,854,570,0,1499,843
92,441,219,173,107,338,8,468,150,153,138,316,2,486,190
93,3655,2801,3435,2761,3244,7895,0,2210,2273,2431,0,7670,0,2670
94,323,143,164,149,188,1,236,222,198,223,0,0,247,0
95,175,65,79,66,54,0,137,53,35,70,48,0,173,70
96,0,993,1159,1190,1667,2,0,966,1422,952,1234,0,2686,1226
97,692,761,498,157,653,0,0,447,857,608,22,0,0,172
98,420,34,222,124,0,1,445,91,230,195,0,5,593,211
99,0,832,2132,2859,2812,6068,0,0,2578,2522,1709,4277,1770,3397
100,469,112,107,503,179,1,342,245,299,0,210,0,433,270
101,184,49,0,84,64,0,184,46,57,0,57,0,147,59
102,2470,958,1068,1144,1091,3,3296,1060,679,915,1189,0,3661,1079
103,1369,214,732,0,606,0,1209,898,686,300,139,0,2006,135
104,428,0,0,149,83,0,479,132,137,148,38,0,406,110
105,3908,964,2135,3247,2314,11220,3134,2534,2914,2338,1810,7143,4620,2667
106,431,139,291,352,148,0,416,278,358,346,287,3,126,0
107,173,0,36,28,73,0,149,71,39,85,0,0,210,61
108,3028,966,1106,1127,1267,10,2163,1097,1063,990,0,3,2672,1134
109,900,290,416,675,497,0,1248,536,778,40,877,0,0,0
110,464,294,273,122,118,3,0,0,61,165,166,0,477,434
111,7225,1013,3002,3231,2416,9017,6479,3284,0,2876,90,0,0,3315
112,285,252,239,110,142,1,543,236,278,27,93,3,371,176
113,137,66,64,55,63,0,135,61,0,62,68,0,225,50
114,3695,1211,701,0,1148,0,0,1048,553,841,1489,2,2828,1159
115,2222,1806,702,0,468,0,827,925,837,1385,516,0,869,215
116,469,0,191,111,190,1,0,135,184,162,123,1,356,147
117,5784,1353,3118,2777,0,9213,2757,2461,2736,0,1673,0,3350,1440
118,339,187,254,401,234,0,362,174,172,137,242,0,283,122
119,157,57,69,56,55,0,201,58,65,54,44,0,186,78
120,4239,1064,1305,1578,1006,18,2309,1188,0,597,929,3,4880,1159
121,1191,0,451,0,396,0,306,1177,582,0,391,0,0,795
122,525,147,212,176,0,4,457,286,199,152,322,4,463,255
123,3558,2664,2656,2455,3198,10453,4260,2253,2187,2224,3527,7092,6466,2022
124,420,122,405,128,273,4,250,224,0,24,379,5,593,337
125,239,51,52,55,57,0,161,55,59,81,71,0,163,56
126,5063,1147,950,717,1379,0,0,1128,440,1130,1053,5,4082,1076
127,1529,598,535,696,500,0,1542,471,291,1222,532,0,949,0
128,327,96,238,186,137,2,430,151,0,143,274,1,494,84
129,5122,1702,2652,2699,1928,7978,3660,2334,3160,2322,1983,12050,2614,1520
130,399,0,0,291,150,0,303,86,5,332,100,2,532,211
131,239,56,55,62,49,0,198,0,64,70,67,0,162,66
132,3930,0,960,0,1385,0,2972,958,0,1188,1302,0,4272,1117
133,720,727,634,646,476,0,2430,532,304,795,495,0,941,1020
134,333,259,206,185,66,0,490,110,0,189,318,0,487,0
135,6863,1591,2933,2590,2726,3590,3222,3413,2075,2251,1778,8058,3773,3530
136,320,222,291,0,0,0,69,243,126,50,194,6,355,240
137,135,65,49,69,60,0,188,53,56,50,45,0,170,60
138,3628,1243,1220,718,0,6,2159,0,0,979,1393,0,3341,1057
139,1136,881,633,1040,532,0,801,604,66,843,775,0,281,0
140,546,181,0,159,0,4,463,327,166,145,195,1,396,159
141,5590,2582,0,2702,1630,6868,4393,3005,3170,3115,2496,9842,4062,2216
142,317,235,109,309,151,1,199,21,105,37,135,3,438,213
143,178,52,74,59,44,0,170,75,41,68,67,0,174,57
144,5283,1028,1115,909,1138,12,3402,1102,0,1066,702,9,3105,0
145,2903,403,490,736,195,0,469,1114,231,686,178,0,1736,336
146,0,41,186,0,194,0,367,0,209,0,287,0,527,413
147,5454,3024,2902,2813,1783,8252,2833,2747,2848,2981,0,0,4489,889
148,416,149,115,328,174,0,424,121,333,275,148,6,196,95
149,150,0,0,65,49,0,133,49,54,63,52,0,0,71
150,3312,1105,1369,1069,1122,12,3603,1033,567,1197,1354,7,2264,0
151,719,440,752,75,654,0,0,443,502,1147,410,0,0,391
152,515,97,230,172,212,1,465,147,189,145,123,2,558,140
153,5285,1457,3334,2124,634,8629,0,2968,0,2924,1186,9076,2965,2258
154,446,0,182,225,221,2,132,134,0,296,120,0,149,281
155,161,54,69,73,48,0,154,56,67,69,56,0,0,54
156,4039,0,859,1310,1138,0,4931,1012,1321,1307,923,0,2628,0
157,558,165,281,471,315,0,1537,0,299,0,243,0,221,0
158,492,0,154,178,308,1,421,79,324,153,269,1,599,323
159,4189,2193,2469,2793,3340,0,7798,0,2750,2675,2785,10106,5558,2719
160,526,329,157,0,163,5,375,148,127,118,0,4,192,122
161,167,55,49,61,61,0,155,59,71,61,56,0,160,59
162,2731,1195,700,1014,1522,3,0,0,1023,968,1076,1,3640,967
163,1985,307,704,462,269,0,1019,0,339,741,876,0,0,0
164,520,211,134,166,198,1,509,48,249,134,0,3,400,277
165,1742,2434,2928,2815,1029,8514,4003,1909,2351,2933,2224,9880,6005,1623
166,341,145,253,373,0,0,313,0,262,0,273,0,237,0
167,162,61,60,57,67,0,230,56,0,69,63,0,122,66
168,2975,976,1306,1225,1430,3,2903,1101,867,1071,1568,0,2890,1142
169,0,468,647,738,333,0,1958,1135,673,0,463,0,725,735
