N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
7,0,0,801,0,203,0,1111,0,465,963,446,0,1709,475
8,596,390,187,136,0,1,582,220,189,148,310,0,407,0
9,4735,2381,3285,2259,2810,8278,2437,1256,2384,2767,1520,2604,5237,3075
10,361,267,284,196,232,3,258,199,228,0,302,5,349,288
11,141,66,54,75,63,0,159,54,0,59,0,0,179,54
12,2064,1132,970,1168,996,3,2364,1092,0,917,1090,2,3780,1227
13,2821,859,1051,616,41,0,0,697,672,0,368,0,2685,749
14,433,158,270,133,17,0,436,170,144,144,293,0,0,187
15,4905,1772,1928,3447,3174,10114,3648,1178,3844,2560,2469,3805,4734,949
16,551,199,0,223,206,0,214,0,49,219,132,5,208,221
17,165,53,46,63,52,0,172,56,74,58,55,0,195,56
18,2924,1090,1344,1088,0,0,5013,1140,1218,888,1197,9,2786,1023
19,0,339,374,1646,657,0,909,1280,0,682,361,0,0,271
20,451,0,199,135,319,2,528,63,282,102,165,3,469,0
21,0,1900,3005,2951,3245,4033,3868,3138,3061,3300,0,12450,6499,1320
22,290,210,327,200,61,5,0,309,203,140,204,0,212,0
23,195,52,48,0,71,0,130,60,52,59,52,0,152,50
24,2540,1173,1138,1095,1270,3,2256,1009,1078,1244,952,0,2770,0
25,849,0,731,2265,216,0,1342,1247,0,0,294,0,102,1009
26,0,387,178,176,264,1,0,162,167,155,299,0,477,115
27,5166,3643,3324,2529,2794,11265,5117,2014,2104,3331,1778,2312,6466,3349
28,1,239,183,174,139,2,558,246,122,136,274,0,376,176
29,195,56,40,71,60,0,184,62,44,59,58,0,143,62
30,1698,1080,950,917,886,0,3990,1147,1241,1070,927,8,3080,915
31,523,799,1017,819,702,0,1840,1010,480,482,530,0,390,679
32,479,338,173,161,188,5,537,237,149,147,85,3,418,196
33,4255,2124,2951,2934,0,12446,2064,2196,2630,2585,0,9432,5785,2144
34,313,281,0,124,310,0,321,183,416,243,200,0,340,257
35,255,60,0,60,60,0,155,47,58,0,75,0,170,61
36,3735,1031,1106,1296,0,13,0,1199,1098,0,914,0,5094,1089
37,0,341,1361,0,800,0,704,557,796,704,638,0,1500,0
38,0,157,175,180,378,0,460,269,0,109,0,0,440,320
39,3876,3623,2151,2696,3139,11412,1325,2522,3038,0,2060,6485,5050,3656
40,285,335,0,84,187,0,427,107,264,290,139,2,293,166
41,184,55,62,64,0,0,141,51,69,75,45,0,185,63
42,2785,894,1314,0,1162,0,2829,1076,641,1199,956,6,4601,1122
43,1030,12,271,659,706,0,0,626,682,529,621,0,1465,1053
44,0,156,235,155,111,3,461,208,153,121,205,0,539,343
45,4199,1888,3252,2819,3566,4872,2636,2717,2577,2479,2853,7151,5120,0
46,552,186,316,143,259,2,349,230,277,406,137,4,453,253
47,155,59,60,52,57,0,210,53,69,62,55,0,198,75
48,3006,1094,649,1012,1030,0,4495,0,835,661,1108,7,4575,986
49,1104,964,402,692,322,0,1206,115,1046,1207,0,0,180,765
50,0,175,193,151,70,3,476,137,264,226,278,1,487,208
51,4715,1840,2424,2476,0,2778,4627,1605,2920,0,5504,7825,3343,1293
52,485,192,282,110,168,1,336,133,288,315,175,0,349,169
53,94,49,40,71,57,0,163,64,56,64,62,0,193,57
54,2652,1062,1087,974,982,0,0,1065,972,797,0,0,3953,1116
55,0,0,590,890,735,0,0,1054,774,844,701,0,0,399
56,464,248,27,178,261,0,538,90,0,134,0,1,435,77
57,7484,1814,3419,2737,2506,9470,0,1777,2200,3093,3705,0,1324,2353
58,573,357,340,199,146,1,763,165,210,168,111,2,116,270
59,190,64,43,65,58,0,129,66,47,93,0,0,183,58
60,4151,964,1060,917,1127,6,3739,1352,0,846,1090,3,3371,1068
61,0,479,903,0,539,0,0,844,634,435,558,0,2293,569
62,453,132,199,140,162,2,415,305,279,92,199,4,499,204
63,4313,1866,0,2903,1946,8835,4094,3310,2942,2517,2811,2593,5284,2094
64,298,0,0,439,279,0,290,280,147,0,197,4,330,0
65,243,53,56,71,53,0,212,62,38,52,59,0,158,64
66,3046,1135,925,0,1104,8,3992,1112,0,956,1414,0,3904,1213
67,811,1049,688,1591,1005,0,1283,323,683,499,697,0,1328,948
68,573,159,273,0,138,0,446,121,226,112,320,2,516,213
69,2537,2609,2976,3455,2874,0,4193,2970,2757,2788,3987,5775,2748,1681
70,443,263,258,0,109,1,394,358,217,303,170,5,228,180
71,208,0,0,71,65,0,164,68,44,67,48,0,209,56
72,2181,939,883,0,940,1,4373,1098,923,1096,1037,4,4400,0
73,0,856,346,763,478,0,1688,682,455,1040,633,0,1191,0
74,451,190,122,141,128,0,438,92,269,185,394,3,476,156
75,5065,1868,3292,3140,3868,11131,4674,0,2316,0,3064,11915,2472,1667
76,354,0,135,0,187,0,408,219,153,522,116,2,117,191
77,0,72,43,44,59,0,204,50,54,0,60,0,0,49
78,2421,997,1083,841,1251,0,0,1325,1285,1205,1303,0,2062,1162
79,443,102,1058,1008,526,0,1276,319,626,0,321,0,857,129
80,468,231,139,0,329,0,385,165,0,181,42,2,434,214
81,3507,1914,2790,2820,3188,0,4584,1831,1681,2927,3238,6928,3946,0
82,344,0,118,373,295,4,369,238,358,338,127,2,340,144
83,171,53,0,0,52,0,152,63,69,57,0,0,172,46
84,1530,1022,1022,1287,1148,4,3850,1014,1091,1359,980,5,2534,1111
85,699,662,620,862,61,0,1062,454,694,882,467,0,442,203
86,429,0,79,199,110,0,464,114,192,186,138,0,534,334
87,4050,3030,2525,2631,3462,5423,4343,2446,2908,2959,653,0,3016,2339
88,205,239,277,0,252,5,0,177,119,174,194,0,273,127
89,0,58,70,58,60,0,170,58,67,70,63,0,208,0
90,4014,1029,943,894,1132,7,4762,1190,953,0,1183,0,3097,1285
91,603,617,591,1357,651,0,612,703,372,676,592,0,267,875
92,437,79,0,173,279,1,466,43,155,165,223,4,403,181
93,0,2119,2977,2668,3106,7062,4222,1122,3048,3058,2144,11504,4107,2296
94,0,199,0,306,199,3,461,238,345,0,65,0,396,245
95,0,56,68,56,57,0,132,56,0,66,62,0,183,45
96,2442,1023,785,0,1181,1,3266,1033,784,1336,0,0,3735,1001
97,1170,0,0,584,186,0,1411,1439,0,123,696,0,0,493
98,502,283,0,0,125,3,524,382,134,149,33,0,565,112
99,6198,0,4829,3129,2839,9613,0,3301,3628,2978,2425,4809,5762,2679
100,338,222,302,123,151,0,534,209,230,175,188,0,380,162
101,206,45,58,62,57,0,220,43,65,50,48,0,173,50
102,3971,1103,0,1053,1610,0,0,1139,1171,960,0,3,3715,966
103,1055,1361,472,1173,482,0,389,1060,899,0,0,0,1512,927
104,0,203,212,144,28,0,434,256,183,166,153,3,0,0
105,5773,2539,2936,2673,1962,8960,5959,2517,0,3174,1581,6445,3973,0
106,0,157,296,142,0,0,502,174,188,339,0,0,310,221
107,212,57,47,61,0,0,218,51,48,68,56,0,163,61
108,2700,1137,948,1221,1071,0,2526,1009,956,991,1206,1,3168,962
109,840,673,328,0,241,0,234,1065,280,1469,1136,0,0,243
110,547,99,262,104,201,3,393,0,152,135,208,0,471,160
111,0,1345,0,0,3068,4568,4228,1994,2917,2885,1072,7432,3906,3131
112,507,159,258,0,52,0,358,160,291,186,188,0,560,316
113,141,0,28,34,55,0,173,54,64,58,70,0,175,0
114,2843,0,0,455,0,7,3071,1089,1154,662,807,0,3114,1013
115,2389,78,844,7,318,0,1357,168,885,0,967,0,1132,0
116,533,219,268,128,363,0,0,297,228,125,0,2,496,112
117,1818,2030,3362,2475,3789,5164,1550,1611,1848,3130,3738,4469,2202,1005
118,454,146,213,394,0,8,0,346,328,40,148,2,428,254
119,190,52,54,72,56,0,201,44,52,70,0,0,221,47
120,4665,0,789,775,1257,0,3593,937,1073,964,1176,7,2647,1127
121,1376,402,525,1264,816,0,0,0,383,332,464,0,86,426
122,507,339,192,150,0,4,418,372,157,0,368,0,470,0
123,1834,2247,3801,2868,3266,8756,3621,2138,2151,2911,3396,8939,2297,1749
124,347,196,134,0,187,6,195,268,316,0,152,1,104,216
125,202,43,53,0,60,0,156,54,52,76,61,0,150,59
126,0,1142,1178,833,1416,0,4138,1010,1325,855,1029,0,3659,1090
127,2048,133,910,0,481,0,485,1586,612,1079,421,0,2166,10
128,447,353,223,143,213,0,365,155,247,174,321,4,446,108
129,7348,2097,2648,2454,0,6754,3297,2225,3014,2285,1467,8403,2329,0
130,372,119,270,234,224,3,519,136,232,281,143,5,338,0
131,187,58,43,52,59,0,176,69,77,51,66,0,197,57
132,4015,1037,1125,1190,1120,1,3426,1227,1181,979,1240,0,3679,973
133,117,0,598,311,0,0,498,0,1023,540,764,0,855,1349
134,500,72,0,111,320,2,449,164,213,170,0,3,461,0
135,3134,2414,3139,2578,2643,7704,5381,960,2829,3299,3972,0,948,0
136,324,192,246,246,275,0,259,268,221,271,57,1,444,145
137,0,0,59,45,52,0,114,58,66,58,61,0,197,56
138,0,1088,838,472,1224,5,2214,958,982,1108,1082,18,2004,975
139,1148,0,722,1325,673,0,817,1430,261,1025,561,0,626,626
140,407,289,0,123,251,1,516,219,239,171,221,5,369,236
141,5256,1351,2985,2375,1591,6273,2601,1968,3610,0,1952,5585,3654,2280
142,0,0,0,387,0,2,566,334,252,477,179,2,390,0
143,173,72,44,70,48,0,152,50,51,63,61,0,193,66
144,4022,0,1280,941,1066,0,2860,1068,948,742,1294,4,4108,1053
145,0,571,763,741,534,0,689,417,206,0,721,0,1164,324
146,0,363,104,100,285,1,529,0,218,155,87,4,528,140
147,2365,2753,3294,3325,1393,2947,2388,0,2802,2513,2894,7494,5348,2009
148,81,259,346,204,125,2,192,141,161,0,194,5,246,249
149,195,61,0,65,0,0,198,0,33,69,50,0,142,0
150,4029,1147,1020,0,1204,1,0,1174,0,1394,1281,0,3245,1133
151,1139,878,0,262,761,0,1416,187,1182,0,0,0,1865,680
152,536,177,210,135,262,2,334,142,152,153,98,3,301,314
153,6689,1280,3310,0,2894,0,1119,2442,2227,2402,3391,0,3772,1120
154,259,164,353,435,275,0,544,134,316,397,226,0,374,346
155,192,74,43,72,0,0,163,63,75,65,69,0,198,53
156,2383,1024,1078,1011,1225,7,3293,1158,0,1447,1173,8,4886,0
157,1432,784,465,1179,903,0,1602,134,682,0,933,0,0,1512
158,434,152,162,0,382,2,0,188,143,130,218,0,496,69
159,2787,1867,3256,2568,784,5392,4092,2692,2367,2544,1756,3652,4066,2241
160,20,317,0,181,228,2,171,181,192,336,147,0,264,138
161,175,50,44,66,59,0,131,60,55,65,71,0,175,0
162,0,1214,1123,1184,1133,7,3258,1030,1076,1009,1197,3,5359,0
163,1504,838,659,11,701,0,0,689,540,0,162,0,297,0
164,0,55,204,178,268,0,352,307,267,137,279,5,426,176
165,4784,1327,3602,2960,2881,7396,3930,2037,0,2655,2255,8755,0,1161
166,199,62,0,0,187,0,183,0,0,214,228,0,201,46
167,157,50,22,71,61,0,182,54,55,74,54,0,230,48
168,1718,981,1091,1185,0,2,2822,1149,861,1055,1081,0,3180,896
