N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
7,1107,858,51,1165,725,0,1447,1229,248,1265,617,0,509,241
8,361,155,0,129,245,1,415,193,197,161,422,2,505,31
9,2835,3167,0,2451,2758,5781,5204,1124,3005,2013,3529,7188,3025,1756
10,427,151,293,93,155,1,346,320,341,347,232,1,0,181
11,159,64,41,50,58,0,161,64,56,65,64,0,207,56
12,2409,1112,923,819,1177,9,1944,956,0,0,0,3,2635,1395
13,511,0,386,0,754,0,1108,117,335,703,292,0,1895,632
14,460,129,156,81,190,5,352,116,134,136,241,4,0,202
15,6219,1708,0,3197,4104,8226,2007,2027,3474,2712,1860,0,4752,2236
16,628,157,274,321,198,1,368,224,292,0,179,3,215,247
17,186,54,63,63,55,0,168,51,58,66,73,0,164,0
18,3008,1241,1056,1217,1256,5,3179,1081,1066,971,1204,6,2262,1135
19,1375,105,444,0,749,0,0,791,903,826,0,0,271,474
20,402,182,237,178,0,0,553,191,140,136,359,2,583,233
21,2909,0,3145,3185,2002,7440,2399,0,2695,2765,2917,0,3956,1705
22,501,138,127,274,119,6,481,0,308,189,200,0,397,0
23,143,61,53,70,72,0,213,0,44,61,0,0,194,55
24,0,1065,861,987,1033,11,2273,1090,1553,1241,1310,5,3548,1149
25,2404,1422,704,619,180,0,0,723,480,624,139,0,0,288
26,427,176,196,98,360,0,0,462,226,170,144,1,398,157
27,1567,1930,3014,2783,0,8852,0,2855,3225,2566,1185,0,31,2315
28,458,161,0,249,160,0,364,0,294,0,160,0,538,315
29,172,48,0,65,0,0,217,52,45,60,58,0,164,57
30,2579,994,1115,1172,956,13,3394,977,1051,1021,1276,0,2475,1146
31,903,347,608,461,809,0,0,715,0,551,526,0,437,661
32,512,0,141,154,290,0,0,11,138,0,0,0,470,237
33,4561,2257,2603,2761,2153,0,3763,1775,4002,2947,4155,7041,6533,0
34,353,143,116,180,115,2,186,100,341,481,114,2,488,237
35,185,63,52,64,64,0,168,63,50,67,47,0,149,61
36,3025,972,820,1152,1067,3,4160,0,1062,975,0,10,3705,1145
37,279,696,702,0,993,0,0,127,0,443,0,0,457,190
38,464,223,145,176,200,0,532,165,162,100,222,0,430,188
39,6195,2072,3474,2533,2249,10099,3728,3176,0,2896,2782,5568,6903,3023
40,420,55,405,259,213,0,136,200,220,0,207,4,302,261
41,176,51,56,74,53,0,212,0,0,73,68,0,0,47
42,4591,886,1115,791,1041,7,4464,1203,746,1452,0,6,2901,1042
43,2398,142,621,140,340,0,1172,914,915,699,647,0,740,407
44,503,248,157,125,202,2,470,174,119,197,182,1,420,16
45,2283,2111,3716,0,3691,5570,4812,3214,3032,2371,1919,17,5362,0
46,273,292,169,170,196,0,160,141,273,201,0,2,0,212
47,213,47,38,57,62,0,173,63,52,52,68,0,188,51
48,3770,1232,1004,1537,1229,0,3898,1123,946,0,1538,9,5229,0
49,156,1320,395,706,456,0,1917,872,635,0,595,0,0,373
50,404,213,233,115,318,0,458,0,0,106,332,1,503,81
51,7509,1814,2498,2620,2603,8868,3088,2521,1756,2604,2993,6431,4255,2028
52,738,173,395,263,0,0,0,106,175,255,151,1,490,174
53,188,0,71,65,55,0,159,58,44,0,40,0,223,0
54,2971,1309,749,1073,1203,0,3718,1016,707,924,1221,9,2928,979
55,1524,1587,776,589,488,0,819,916,1392,1005,0,0,563,0
56,425,0,0,141,209,0,473,0,150,125,243,2,353,206
57,3618,2874,2676,2873,2995,4437,4037,3315,2732,2404,1345,2940,6168,2072
58,170,183,118,74,91,3,243,0,261,339,227,0,371,209
59,206,47,42,91,74,0,126,38,42,59,0,0,229,52
60,2828,1109,691,1106,1129,2,3745,1198,946,0,1616,2,3033,1113
61,220,901,957,1692,574,0,649,16,612,382,622,0,1368,935
62,381,48,128,123,202,1,504,239,240,152,424,0,0,114
63,0,2053,2030,3175,1502,7587,3027,2309,3407,2492,0,8723,5210,1536
64,167,0,431,615,286,0,280,308,163,418,185,5,383,340
65,211,58,60,64,53,0,141,46,46,83,47,0,155,0
66,2250,991,839,1366,1219,0,2322,1205,1056,1421,994,1,3513,1051
67,1927,1027,464,677,478,0,1239,214,0,0,0,0,1079,1242
68,438,85,154,162,132,1,602,157,269,174,0,0,405,102
69,5549,0,2562,2394,3143,12420,6189,2344,2427,0,2833,11242,4266,2040
70,217,197,183,237,61,1,322,304,0,21,0,3,656,300
71,232,60,55,69,56,0,182,56,55,69,54,0,143,63
72,3343,1032,1215,818,975,8,0,1046,1478,895,1235,0,0,1199
73,1584,261,537,74,634,0,1929,1331,425,1331,327,0,1265,818
74,499,256,174,129,195,0,325,170,126,125,218,0,427,241
75,1188,2944,3635,0,2380,8428,1034,1215,2506,2988,1965,9085,2737,1718
76,304,71,140,216,85,2,496,259,253,219,163,4,434,224
77,139,71,0,71,52,0,130,0,57,51,69,0,179,60
78,2188,948,971,871,1445,0,2582,0,0,0,984,5,0,1009
79,589,552,643,180,0,0,287,0,671,0,565,0,577,0
80,500,0,203,133,190,0,0,91,158,157,324,1,614,60
81,4152,3427,2745,2628,1555,14441,4630,2731,3425,2794,3062,10662,2287,1825
82,334,223,271,64,206,1,383,292,321,375,203,2,177,0
83,170,72,50,65,56,0,213,56,74,47,62,0,164,55
84,3600,930,1282,1201,1330,4,2080,1037,852,811,1089,6,2289,1099
85,2413,1039,610,1094,161,0,0,1044,937,397,318,0,1158,1132
86,530,217,324,116,131,1,477,116,177,151,233,0,416,66
87,4134,3090,3329,2454,0,5365,4114,2215,1920,3313,2515,9827,1813,3277
88,367,267,338,313,248,8,484,232,321,336,72,1,195,199
89,184,51,71,77,52,0,138,69,41,78,54,0,200,57
90,2967,1081,992,435,910,3,2892,899,981,798,1478,5,0,1259
91,1186,590,0,776,584,0,2220,1062,935,965,0,0,1799,200
92,406,0,0,123,380,3,625,29,173,93,264,0,509,246
93,3906,0,3687,2934,2971,8223,3023,2296,0,0,3301,2624,0,1420
94,359,206,326,303,327,6,131,0,339,401,99,1,596,121
95,107,52,50,60,0,0,179,65,72,55,40,0,185,51
96,3468,831,0,1096,1227,5,3494,0,850,1247,1171,0,3201,1049
97,0,614,455,372,408,0,0,863,784,810,0,0,2739,474
98,362,226,0,165,0,0,0,265,0,142,316,1,444,235
99,6432,0,0,3098,1306,12324,4591,0,3155,0,0,13897,0,2988
100,0,185,316,55,314,5,247,0,196,380,116,0,430,346
101,144,55,43,49,67,0,173,59,66,66,54,0,141,63
102,5433,1103,971,1024,0,0,3572,1011,971,1078,1090,4,3303,0
103,2340,1029,562,808,454,0,1525,804,647,10,702,0,416,0
104,518,238,0,154,174,1,0,251,0,171,0,0,517,218
105,4783,1667,3216,3138,0,11705,4437,2332,1938,3347,3031,2415,4929,1072
106,340,204,200,379,180,6,222,111,213,292,274,0,446,166
107,227,61,67,59,0,0,226,50,69,58,45,0,151,66
108,4084,1235,0,1059,993,0,4642,957,1139,777,1017,5,4976,1074
109,1864,1098,959,318,553,0,0,0,0,199,870,0,2068,859
110,478,266,228,109,408,1,535,168,178,170,0,2,597,297
111,4615,0,1952,2808,2880,10958,3625,3155,2082,2767,692,3279,4948,2050
112,0,265,0,231,160,0,279,182,0,509,0,0,305,240
113,201,64,54,57,61,0,182,54,47,70,0,0,198,53
114,2449,964,0,978,958,11,3363,0,1103,788,894,1,3490,1106
115,244,645,882,1041,809,0,223,1240,202,1614,576,0,1673,49
116,520,181,299,179,200,3,0,151,197,84,83,2,525,126
117,4438,2648,2426,2746,0,4882,0,2312,2975,2399,3918,13788,5020,3917
118,14,235,238,489,206,0,482,323,328,162,0,0,315,51
119,0,55,45,52,57,0,221,51,53,54,70,0,191,63
120,2548,1052,0,1359,1180,10,2269,1045,1188,783,903,0,1939,869
121,1544,1400,850,199,557,0,721,718,656,1090,520,0,475,511
122,512,217,0,169,271,0,474,112,263,221,296,0,434,143
123,5018,0,0,2237,0,0,3131,2445,3112,2788,3180,10561,4198,1541
124,575,175,332,386,0,2,279,279,213,303,81,1,320,0
125,193,61,60,67,65,0,142,57,61,78,46,0,224,54
126,1809,1181,0,1080,1554,0,4335,1093,1067,906,1095,5,3626,1056
127,1087,781,620,370,716,0,2353,809,672,0,239,0,80,0
128,439,152,0,137,224,0,585,12,273,131,0,3,490,279
129,6983,2005,3133,2793,1285,9607,4173,3977,2667,2492,3888,7308,7000,1860
130,277,226,188,293,260,0,574,193,310,241,45,4,449,116
131,223,56,68,49,52,0,0,0,57,61,64,0,0,54
132,3109,1007,1151,910,1356,5,2416,1224,1038,1040,1059,0,2114,1091
133,941,0,469,1342,608,0,0,562,0,188,164,0,1832,0
134,358,237,168,140,105,0,457,133,235,151,215,2,434,297
135,6455,2000,2218,0,3845,0,4359,2063,2618,3066,2584,11209,3157,1464
136,628,193,201,0,220,3,245,144,188,250,143,0,503,240
137,190,57,70,57,0,0,197,67,49,36,70,0,182,61
138,3074,1258,1026,1226,1244,2,2506,989,1141,822,1222,0,3792,1079
139,1285,947,926,1192,355,0,1190,0,0,522,0,0,414,612
140,459,203,125,128,0,0,391,81,233,174,146,3,0,121
141,3987,3440,2517,2499,2519,3759,3344,3536,2773,2333,1805,2808,0,2254
142,32,176,0,287,184,0,337,193,239,217,184,3,549,138
143,164,64,56,66,58,0,165,57,70,0,53,0,159,71
144,4993,1113,995,1208,1122,4,3410,1113,1104,930,1385,0,3225,1057
145,314,704,845,780,0,0,455,934,618,0,301,0,0,0
146,319,86,197,149,207,0,438,0,237,160,177,0,386,148
147,3472,1372,3239,2433,1915,7274,5331,0,2656,2556,3959,5118,2396,0
148,408,183,225,332,256,2,254,235,134,298,0,3,139,143
149,151,54,49,65,52,0,161,0,0,0,49,0,183,59
150,3023,1192,748,685,1003,10,4209,1085,927,1214,1162,10,2957,1057
151,0,857,845,267,564,0,0,649,803,1412,927,0,0,635
152,531,165,68,142,108,2,491,238,162,172,217,3,469,45
153,3696,2692,2602,0,0,6692,6273,2575,2839,0,527,8709,3835,0
154,695,362,293,83,72,0,0,0,89,112,106,3,416,203
155,0,67,43,57,63,0,221,76,0,58,52,0,0,70
156,3305,1155,1351,1362,1378,6,2293,1085,1427,1147,763,4,5002,1025
157,908,48,1036,1088,0,0,2468,1018,682,0,655,0,3171,0
158,397,203,141,159,48,0,432,62,182,125,220,1,468,397
159,3287,2436,0,2417,2415,9236,2286,2614,2618,2177,4916,3967,5542,2522
160,283,119,283,305,119,0,292,180,0,239,223,2,416,297
161,179,63,50,45,61,0,130,0,58,66,53,0,185,71
162,2417,1164,1045,1258,1256,1,3488,1116,1172,1317,1310,1,2810,1077
163,1924,0,794,1151,718,0,1901,1564,0,0,495,0,1701,600
164,497,281,0,129,233,0,472,131,185,169,65,0,438,246
165,4038,1641,3300,2666,2069,3720,3578,2022,2143,2748,3228,5754,4455,0
166,343,254,177,371,0,3,253,198,259,414,247,2,185,203
167,162,64,43,44,0,0,159,55,65,46,45,0,193,60
168,1375,1050,1094,778,1002,2,3431,1083,964,803,0,7,3038,1071
