N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
7,0,1,732,585,944,0,2431,535,710,526,694,0,1720,0
8,390,344,195,129,0,1,425,246,268,231,281,0,454,228
9,7748,2713,3958,2516,3671,8491,1848,1134,2255,3067,2642,4618,3794,1272
10,478,175,202,89,134,0,0,275,204,56,119,0,322,220
11,197,66,68,78,0,0,170,0,57,66,40,0,159,43
12,3940,1138,1062,0,1530,10,3166,926,787,1055,1166,6,3374,1157
13,0,701,966,304,290,0,119,148,88,693,232,0,618,1265
14,427,198,217,122,328,1,526,106,188,147,306,2,530,91
15,4617,1560,3169,3371,0,9424,2616,2200,2404,2909,2691,8512,6060,3647
16,311,224,299,147,186,0,0,79,279,333,89,0,252,230
17,198,72,66,52,70,0,181,66,62,51,56,0,121,50
18,3960,0,1186,872,1248,0,5071,0,960,956,1103,0,2346,1059
19,1253,511,550,0,498,0,1533,0,646,0,698,0,1094,710
20,548,284,272,103,349,4,538,204,237,140,254,1,528,364
21,4479,0,2869,3098,3311,13040,3340,1509,0,3001,3082,8262,6235,1850
22,454,95,317,0,217,0,226,145,357,98,217,3,300,120
23,215,64,56,63,48,0,0,65,64,0,79,0,242,54
24,0,919,1308,1058,942,3,3596,976,944,947,1355,3,3720,1073
25,1871,1332,811,0,547,0,1544,0,351,1900,1261,0,0,334
26,455,289,274,0,243,4,363,292,45,194,306,0,407,0
27,6469,0,2650,2952,2870,4233,4123,2703,2261,2442,1436,11446,2791,1898
28,479,78,245,247,137,2,392,292,249,183,0,0,401,220
29,151,61,54,0,48,0,175,55,70,0,53,0,199,52
30,3871,1109,1105,991,1336,0,4751,1004,789,1024,1085,1,2697,0
31,1158,686,554,1536,383,0,1669,1149,693,186,153,0,1463,639
32,0,115,286,127,52,0,447,194,182,140,201,0,436,257
33,2848,0,3471,2893,2786,0,4401,2847,0,2126,2763,5425,1110,1969
34,239,32,300,371,231,4,258,55,296,232,199,1,352,272
35,226,65,0,0,69,0,0,65,71,57,0,0,109,55
36,4245,964,1027,447,1376,3,3798,1169,1286,0,0,12,0,1105
37,755,958,200,950,921,0,0,467,493,1080,0,0,262,1574
38,361,264,0,158,197,1,480,262,219,200,230,3,528,203
39,3753,2234,2783,2703,0,11565,3377,2301,3596,2739,1238,2592,4338,2424
40,552,253,243,0,181,2,326,200,200,448,112,5,450,134
41,146,51,72,56,0,0,0,61,34,61,58,0,159,41
42,1607,1034,1068,1179,1135,0,2837,1004,0,858,1424,5,4288,1005
43,1186,0,1091,816,0,0,703,706,0,0,536,0,1696,597
44,565,0,314,115,157,1,430,319,140,164,0,2,500,0
45,5980,2344,2775,0,0,0,0,1572,2913,2863,2038,5465,4848,3058
46,369,190,275,149,361,0,473,247,255,433,50,0,477,274
47,177,57,53,70,54,0,183,64,41,65,56,0,132,61
48,3570,1201,1165,0,1316,2,3405,915,928,1262,1019,7,3510,0
49,1522,705,676,32,492,0,757,0,431,0,37,0,1537,711
50,406,233,137,112,272,3,547,247,187,114,243,0,449,0
51,4618,1572,3225,2389,469,7668,4572,1579,2314,0,775,3736,458,1375
52,283,232,292,13,260,1,112,158,0,251,256,1,0,159
53,159,60,73,68,61,0,169,47,36,55,67,0,0,69
54,0,1129,1123,1129,1106,1,0,0,995,670,1517,10,1443,953
55,509,680,913,420,632,0,1742,744,296,596,731,0,2000,782
56,555,119,256,183,292,3,394,86,208,0,0,0,480,101
57,2129,1875,3833,2941,3071,0,2694,2654,2774,2697,1616,5532,3155,2878
58,0,208,0,289,189,0,351,230,257,0,0,0,86,290
59,184,49,0,72,64,0,141,56,38,61,72,0,147,60
60,3122,1108,1216,1052,1417,9,2487,1165,1157,1253,818,5,3023,1123
61,0,91,593,733,0,0,0,100,0,1282,354,0,1478,0
62,395,238,208,104,80,0,446,121,96,130,234,0,499,243
63,2391,2712,3826,2199,2120,6289,0,3894,3219,2463,2795,6257,4960,3238
64,564,322,292,0,376,3,274,348,194,185,160,0,103,246
65,178,57,59,63,53,0,0,0,59,46,0,0,0,73
66,4593,1088,845,990,880,7,4212,1050,1029,1400,1423,6,2752,945
67,1207,956,530,144,124,0,474,698,708,339,53,0,1626,365
68,510,0,277,130,0,3,495,0,132,121,135,0,488,216
69,5034,1990,2933,2525,2394,8236,0,1759,3930,2927,4299,0,3981,2441
70,409,251,337,367,238,0,97,234,168,153,181,0,74,236
71,145,58,72,67,71,0,188,44,0,76,53,0,196,0
72,4426,1075,839,581,1379,0,3255,936,1240,1143,1283,0,3417,1051
73,2014,891,711,283,788,0,0,391,0,1090,532,0,677,246
74,509,134,244,119,263,1,523,298,224,143,0,0,449,98
75,3487,2498,3452,2786,4287,0,0,2544,3446,2323,3950,6332,3307,2298
76,308,238,337,55,184,3,272,0,273,0,366,3,443,231
77,0,66,42,59,49,0,0,56,43,76,56,0,150,0
78,3401,991,974,0,1234,9,3010,1144,954,790,1053,5,2250,1073
79,2776,284,595,709,1173,0,796,428,0,974,0,0,897,0
80,0,119,163,183,307,3,485,176,217,168,0,1,366,225
81,658,0,3191,2931,2731,10031,4676,1576,2901,2970,4478,0,3581,1247
82,330,180,0,0,171,6,0,74,230,95,255,6,371,230
83,216,0,46,60,52,0,132,63,61,71,57,0,165,53
84,4376,1084,990,1277,912,8,3373,0,0,1193,1530,0,2710,1126
85,903,705,488,1564,226,0,0,1546,544,0,291,0,1440,127
86,532,290,190,169,249,3,548,112,233,127,168,5,549,127
87,2331,1755,2530,3261,3971,8445,6654,2440,3301,2389,3506,0,4046,2707
88,264,283,284,442,0,0,168,288,154,371,254,2,266,232
89,197,53,49,53,52,0,96,57,40,63,46,0,174,0
90,2111,1208,0,984,1133,14,2924,1045,849,920,960,0,0,1070
91,1832,399,525,874,327,0,686,368,816,939,242,0,1225,1224
92,486,251,186,166,191,0,504,33,276,0,0,2,512,30
93,4771,0,0,2527,2045,4320,3661,1367,3616,2229,1880,0,2190,1196
94,321,141,179,213,206,2,560,236,285,208,187,4,286,136
95,172,57,64,59,49,0,193,47,42,0,54,0,173,57
96,0,1028,749,1039,1077,0,4521,1115,1089,1399,1020,0,3070,1059
97,1716,1045,0,1790,129,0,0,415,355,263,294,0,1227,0
98,516,222,272,0,176,2,392,213,187,140,294,2,0,332
99,6797,2716,0,2329,5022,4064,2208,1554,2680,2638,1651,8292,6995,1408
100,0,177,295,408,236,2,590,125,25,415,201,1,558,202
101,242,60,45,69,47,0,196,58,54,0,64,0,129,58
102,2552,1062,1020,974,1087,0,3153,1046,1202,1119,0,3,3389,1025
103,1498,846,573,787,647,0,2038,257,658,81,585,0,1692,1223
104,533,123,181,170,354,0,476,253,147,120,277,0,0,38
105,2485,0,0,3506,2875,8673,0,0,3540,2739,2842,9163,0,2219
106,170,347,413,383,162,0,329,346,143,578,0,0,345,248
107,197,71,55,83,51,0,194,59,33,62,49,0,0,61
108,3473,1074,1218,1175,1340,1,2977,1083,983,1298,0,13,3520,926
109,1055,913,488,655,411,0,395,821,0,272,845,0,151,530
110,393,168,128,132,125,0,466,247,0,160,183,3,464,206
111,4318,1573,2384,2922,1589,4591,0,2782,2094,2726,4450,14384,3374,1624
112,368,135,312,120,235,0,154,151,171,138,150,7,343,230
113,160,67,58,0,63,0,204,51,29,63,0,0,196,67
114,4262,0,1082,1152,1261,6,3846,1068,884,1045,946,1,2293,1290
115,858,993,895,691,170,0,989,505,541,305,893,0,1381,871
116,473,123,205,143,269,3,493,290,204,162,253,4,552,267
117,3229,1665,3177,2466,3459,1215,2681,3464,2818,3141,2592,16947,2755,2690
118,273,166,163,62,95,2,449,112,297,345,215,4,253,292
119,165,57,0,72,0,0,0,63,42,55,78,0,215,53
120,2558,922,793,1174,1450,0,3580,1187,1578,1140,1304,6,1996,1055
121,155,0,440,0,512,0,0,587,496,594,123,0,859,0
122,548,207,194,214,396,1,393,176,231,149,247,1,0,122
123,4991,0,0,2727,3999,4184,2802,2086,3123,3146,3834,6698,4590,2717
124,412,290,229,0,0,1,525,124,283,188,184,1,119,139
125,132,53,69,66,54,0,192,61,48,0,65,0,118,0
126,2595,1211,1212,0,0,5,2172,0,1150,946,1320,15,2678,1113
127,396,425,558,1595,686,0,912,1371,519,649,646,0,0,883
128,551,68,224,127,504,1,382,240,283,148,282,1,651,316
129,4025,1249,3165,2588,2338,8856,3330,2244,2639,2807,738,0,2664,3818
130,404,104,101,379,213,0,0,221,316,273,138,5,394,355
131,185,61,46,57,57,0,227,44,61,0,56,0,182,58
132,3443,997,577,1352,1353,11,4269,977,989,990,1183,7,2935,1153
133,888,1347,768,957,1037,0,0,0,546,1482,740,0,1138,784
134,461,385,211,162,378,1,454,357,315,109,237,5,424,123
135,2360,3311,2921,2519,4027,11356,3048,1865,2629,2904,1706,4857,1355,2033
136,388,182,219,170,235,1,411,238,187,0,81,2,510,280
137,152,43,64,61,56,0,0,56,52,69,48,0,162,63
138,2160,0,1202,696,1053,0,0,1111,996,0,1207,7,4237,1020
139,0,294,254,1249,1027,0,1491,0,0,0,543,0,910,0
140,468,279,0,124,217,3,521,296,0,163,300,0,404,229
141,3627,1174,2638,2724,4036,5480,3488,1291,3095,2570,2516,9222,2641,2019
142,204,276,163,0,54,0,211,215,245,0,0,0,237,301
143,147,58,35,51,33,0,167,58,47,63,62,0,250,63
144,2947,1181,1064,952,740,11,0,1018,774,1244,1196,0,0,0
145,0,274,0,0,22,0,2630,400,547,137,938,0,2862,388
146,463,108,79,111,146,4,435,0,272,167,0,1,497,191
147,4819,2506,2091,2682,1811,6380,1946,2879,2948,2837,1905,4335,3552,2182
148,243,219,0,145,165,0,412,0,185,33,272,2,639,240
149,164,68,46,64,58,0,192,51,53,0,54,0,0,62
150,3154,845,863,0,1184,14,3033,1230,1177,1201,1416,0,2340,1001
151,1248,0,636,952,826,0,899,481,0,1427,474,0,0,1624
152,397,147,244,172,421,0,610,102,175,138,150,1,459,224
153,3641,1250,1571,2220,4853,5834,5272,2904,2516,2880,3197,9757,0,1385
154,0,198,130,477,246,2,361,192,166,132,129,0,281,197
155,176,49,53,62,62,0,223,62,70,70,0,0,149,65
156,3297,1057,0,1024,998,6,2165,977,1026,1299,1440,5,3671,987
157,830,1829,811,946,143,0,1103,741,427,717,0,0,309,27
158,435,59,230,150,184,1,408,128,154,140,70,0,470,117
159,1574,3607,3304,3030,2329,7749,3849,2181,2572,2473,1528,2106,6885,1801
160,338,156,202,0,184,5,459,190,263,0,207,3,545,320
161,142,62,59,53,64,0,227,55,59,0,60,0,205,59
162,3197,1071,0,892,0,0,2897,1061,833,1218,1495,6,2491,1212
163,0,1406,722,110,0,0,2577,316,776,0,163,0,1702,370
164,520,265,261,177,273,3,476,305,325,131,85,3,457,269
165,4277,3193,2811,2934,0,11778,0,1617,1346,2385,2317,5751,0,2619
166,199,188,90,0,183,3,0,213,0,243,258,0,419,167
167,196,47,50,59,55,0,153,54,49,67,45,0,143,76
168,3056,1214,1152,863,1163,12,3348,977,1103,835,1342,0,3660,1151
