N,Container capacities,Available containers,Number of periods,Alpha,Returnable?,Initial inventory,,,,,,,,
7,1252,0,0,516,0,0,0,127,838,0,806,0,474,1143
8,589,213,276,142,335,0,544,196,178,149,0,0,0,192
9,3565,1267,2530,0,2774,9284,3518,2334,2728,0,4328,10542,2955,2972
10,29,352,0,182,284,0,0,154,117,154,153,4,500,194
11,199,57,71,0,59,0,165,66,42,38,63,0,181,46
12,0,1103,1444,1095,1102,7,1795,1042,870,1201,1171,2,3087,1148
13,636,794,578,78,471,0,1101,1549,793,893,675,0,0,893
14,337,0,176,133,0,2,375,20,0,193,228,3,474,56
15,914,1773,2789,2406,4349,8821,4878,3409,3571,3107,0,7651,3721,1792
16,0,197,277,70,145,3,277,218,0,253,185,3,449,291
17,206,57,57,78,62,0,199,61,65,44,55,0,136,57
18,4012,1074,1103,1011,1006,0,4527,1118,1207,1218,1046,6,3836,1037
19,0,498,615,59,521,0,2618,0,600,1293,804,0,288,715
20,562,250,92,173,126,1,493,210,271,132,292,0,471,205
21,2729,2172,3276,2898,0,8470,6305,2962,4423,2990,2220,7920,4131,2615
22,276,243,307,245,0,3,383,104,203,189,129,1,0,226
23,116,61,53,67,0,0,194,45,43,0,59,0,0,71
24,1781,1073,1161,0,1261,0,3043,1043,1093,739,1215,3,2813,1111
25,0,539,606,0,515,0,1586,1530,282,205,334,0,1901,952
26,409,194,217,0,351,1,511,0,233,86,261,2,497,163
27,4599,2090,1683,2399,3148,5935,0,2575,3645,2187,1004,0,6323,2277
28,310,301,105,250,269,0,471,185,222,254,109,3,383,206
29,127,0,0,66,68,0,184,54,38,75,0,0,137,53
30,0,1044,1552,1432,1310,3,2835,1139,1250,905,1412,0,5074,1121
31,861,0,1016,660,0,0,1260,483,23,0,368,0,703,1042
32,518,226,237,126,330,5,533,37,203,118,363,0,469,286
33,3658,3040,2829,2463,3413,9470,4432,3588,2797,2725,2526,8964,3109,2348
34,333,116,311,393,253,0,281,75,286,215,279,3,459,0
35,183,61,0,61,54,0,166,58,65,62,55,0,202,70
36,2114,1019,931,822,1110,1,4487,1159,708,970,989,5,0,1054
37,0,1319,409,1344,141,0,1139,327,699,941,350,0,0,719
38,353,137,210,123,227,0,522,173,233,128,0,1,426,73
39,3333,3176,2581,3095,2750,0,6052,1862,2777,0,2737,0,5823,2004
40,0,267,243,0,168,8,412,328,313,136,131,0,74,199
41,159,53,63,56,51,0,175,57,68,39,67,0,222,0
42,4114,1051,1155,1105,0,8,2206,1019,756,987,1333,2,3836,973
43,0,519,720,439,213,0,0,925,453,1384,516,0,0,28
44,431,0,135,145,0,0,477,267,191,150,216,1,481,0
45,4246,1803,2829,0,4407,4636,0,2369,2910,2963,1387,7639,3094,2650
46,282,265,0,280,97,1,354,216,255,277,0,2,193,208
47,200,52,33,69,68,0,114,55,33,78,53,0,199,56
48,2809,1089,987,1183,1008,2,0,1088,939,1234,1071,1,5281,986
49,941,0,521,0,397,0,0,950,583,1213,481,0,1357,920
50,516,52,33,191,292,0,0,430,80,102,92,2,0,289
51,1774,2603,1581,2725,4579,7492,5719,2553,2814,2156,2445,10165,3401,1105
52,0,301,122,0,168,2,278,176,287,128,226,3,267,173
53,124,63,56,56,58,0,187,60,61,53,60,0,0,48
54,3110,1124,1448,1233,1165,0,2904,1102,938,953,1292,0,4504,0
55,500,134,0,601,628,0,561,497,1023,0,323,0,0,1142
56,0,0,228,125,291,1,421,166,102,0,330,3,0,161
57,4069,1589,3138,3553,1817,7723,4592,2004,2747,2900,1454,3002,3279,2096
58,137,312,283,0,149,0,234,226,323,180,241,2,438,330
59,131,63,62,75,46,0,194,59,53,72,52,0,149,65
60,0,1126,1129,1212,990,4,2978,986,0,1075,1328,8,2308,1119
61,0,0,600,753,292,0,1020,534,382,0,453,0,495,1062
62,487,126,214,117,379,0,573,206,166,163,110,5,447,187
63,3474,2103,3155,2906,4418,7296,4420,2209,3305,2860,2936,4768,8037,1643
64,0,189,358,0,157,0,735,168,345,116,141,4,319,207
65,130,68,51,82,61,0,228,56,51,64,0,0,163,72
66,3871,0,1268,759,1410,1,4565,1178,935,815,1167,0,4045,0
67,1007,0,735,1016,235,0,841,1253,672,687,475,0,1264,658
68,0,45,120,127,378,2,413,150,119,115,301,4,442,80
69,3227,2560,3361,2850,2698,9425,4063,2100,1663,3034,4449,0,1629,2510
70,386,229,234,10,0,0,156,0,303,79,229,5,348,198
71,0,58,50,70,58,0,0,61,39,68,52,0,0,0
72,3384,938,914,1014,999,0,2331,1153,1200,957,1531,4,4400,984
73,1718,753,762,0,429,0,1070,130,984,409,413,0,1065,0
74,336,106,288,161,0,1,394,137,185,141,0,0,438,103
75,3552,3109,2490,3147,2077,3597,3011,2557,2941,3094,1473,4513,1718,1617
76,425,0,181,366,180,0,342,302,183,387,287,0,465,111
77,195,56,41,71,62,0,159,74,52,65,59,0,199,52
78,4431,1012,0,990,1039,0,3799,1107,1142,0,0,0,4082,1252
79,659,259,260,431,882,0,433,894,566,942,853,0,2408,1069
80,494,279,213,108,347,0,431,219,259,118,103,0,291,202
81,3244,1676,3058,2692,3057,9223,3513,2040,2274,2988,3305,1562,7226,2855
82,188,210,239,142,206,4,581,201,295,389,0,0,0,128
83,160,43,39,0,50,0,232,54,0,51,71,0,179,65
84,0,1095,1162,1148,944,1,2844,1214,1527,604,1341,2,2935,901
85,1625,710,449,1237,763,0,1342,962,763,1710,804,0,102,0
86,454,150,310,158,244,0,496,165,207,0,285,0,495,165
87,2346,2429,2537,0,1609,5127,4778,2432,2770,2822,0,3660,2698,2171
88,517,354,228,319,251,0,421,114,301,52,204,2,387,0
89,186,0,58,66,53,0,147,68,58,62,48,0,189,59
90,3809,993,965,938,1407,0,2618,1047,1552,991,1074,9,2165,1097
91,959,906,568,0,537,0,0,0,512,1436,0,0,1571,391
92,437,143,192,143,194,0,455,109,0,125,189,0,452,51
93,3892,1970,2311,3128,3624,0,0,0,3174,2377,3056,5829,3953,0
94,0,224,334,0,282,1,398,0,166,277,218,4,315,332
95,194,63,36,56,61,0,157,62,62,61,56,0,208,59
96,4808,1177,1231,1447,0,5,2845,885,1480,1091,1278,0,3917,886
97,0,0,473,996,696,0,1235,1187,551,481,559,0,2628,383
98,0,167,117,202,0,4,474,57,165,151,156,1,402,224
99,3647,2436,2682,2759,4071,10044,3114,3252,0,3202,2807,6996,2863,0
100,0,332,306,348,205,0,0,153,278,0,150,0,367,0
101,152,67,61,0,76,0,0,0,54,61,64,0,141,73
102,3487,1034,1218,884,0,0,2526,0,803,0,949,2,1914,1103
103,1998,0,832,1856,1112,0,907,0,451,0,1033,0,10,398
104,445,153,103,119,420,4,449,0,164,164,326,3,480,257
105,4655,3398,0,0,1629,0,5650,648,1698,2632,0,6501,2881,1819
106,480,298,67,316,0,0,550,169,246,0,250,0,527,189
107,195,50,35,56,67,0,188,61,0,65,48,0,190,50
108,3715,1208,965,686,0,0,3222,828,586,1293,1363,0,4856,1033
109,173,794,661,895,627,0,2601,1068,539,741,412,0,2017,358
110,333,291,141,152,93,0,428,170,120,146,197,3,516,69
111,0,2272,2503,0,2485,543,4017,2564,3040,2348,0,4919,3712,0
112,119,208,178,0,223,1,0,57,204,338,192,4,405,303
113,150,51,48,63,52,0,126,0,43,66,48,0,173,53
114,2959,0,985,965,1257,16,0,1243,639,972,1628,1,2906,1137
115,2035,457,531,1031,586,0,0,0,506,1537,256,0,465,0
116,529,30,0,160,517,1,535,181,184,140,334,1,438,206
117,2278,2111,3840,2448,3262,0,4150,2051,2005,2875,2912,6379,4764,1851
118,432,183,215,33,273,2,471,373,319,124,115,0,445,181
119,168,53,67,59,50,0,138,45,37,41,52,0,152,57
120,3344,985,1149,1208,1089,2,4028,1248,1077,778,1278,10,1436,1104
121,895,369,0,0,902,0,1045,798,1118,181,0,0,1536,415
122,437,300,249,133,308,3,0,145,153,150,280,0,418,249
123,3550,3248,2667,2666,1823,12790,5073,1459,2712,3006,2031,6602,3635,3391
124,0,250,170,0,320,0,234,194,273,278,95,1,386,261
125,161,56,77,51,75,0,192,52,47,79,60,0,196,0
126,3528,1096,713,964,1135,9,3175,1081,1178,1087,1301,7,3886,964
127,1400,520,633,712,982,0,1707,0,153,681,0,0,734,0
128,394,109,138,147,10,1,495,318,200,159,286,0,412,121
129,6566,0,0,2651,2020,6679,1642,2726,1756,2590,2179,9443,5256,3278
130,364,137,187,230,177,3,454,278,241,357,0,1,322,227
131,0,67,0,52,36,0,180,0,57,72,61,0,197,65
132,3319,1155,764,1000,1091,3,3610,0,1328,950,1106,2,3639,1041
133,494,316,712,0,0,0,1737,392,284,489,516,0,2366,744
134,422,181,183,96,258,3,427,0,234,150,141,0,431,227
135,3452,2485,1049,3181,2271,0,4436,1110,2926,2723,1198,1159,3048,0
136,128,216,298,0,142,4,0,265,240,245,277,0,227,0
137,203,54,48,67,63,0,190,61,44,56,64,0,217,55
138,3669,1063,1233,1064,0,4,4189,1018,1034,1111,1153,9,0,1077
139,1049,669,534,1238,0,0,1294,502,514,395,676,0,466,1176
140,502,292,181,101,250,8,0,180,122,191,304,0,463,46
141,2358,2706,1393,2406,0,4335,4882,1782,2723,2721,897,8407,6070,3034
142,377,206,176,310,133,0,279,201,179,208,108,1,405,0
143,203,54,56,61,45,0,140,50,38,68,46,0,196,45
144,0,1014,0,0,1470,3,2509,1144,1001,1085,1382,1,4004,1042
145,410,197,540,875,562,0,851,0,0,0,0,0,686,851
146,651,124,178,180,274,0,557,200,240,174,514,0,455,108
147,4605,2350,0,2770,3031,9366,5900,2226,0,2720,3598,8114,5388,1324
148,189,131,430,100,406,0,525,263,313,255,177,0,254,121
149,170,60,34,61,61,0,195,55,56,75,62,0,184,52
150,994,929,1179,1212,1118,14,0,1059,1167,565,1487,0,3996,1190
151,1795,1261,847,311,770,0,0,582,1011,559,547,0,2362,0
152,537,303,217,167,313,3,436,0,245,183,122,0,410,47
153,0,3075,2329,3051,3312,3196,2887,2776,2790,2413,2005,8971,3589,2188
154,399,192,474,166,276,4,422,189,256,101,233,0,442,347
155,178,50,63,52,41,0,198,57,52,71,59,0,152,51
156,3537,986,995,1252,0,2,2535,970,0,1215,1407,0,2452,963
157,0,625,0,1082,307,0,1455,224,424,853,390,0,1763,1487
158,0,259,266,202,317,2,393,69,181,108,431,3,455,215
159,5161,1647,0,2330,1526,117,899,2828,2440,2947,4493,6731,2153,3408
160,397,232,0,139,121,0,386,184,189,0,256,8,538,245
161,161,57,58,53,57,0,0,57,55,84,65,0,173,70
162,3765,1088,1058,1213,1249,6,3407,1163,1108,1019,1078,6,2351,1189
163,765,0,300,1018,0,0,87,1169,624,1101,0,0,1007,1099
164,483,190,149,142,335,0,587,148,138,125,268,3,457,22
165,3699,0,2270,2901,2250,0,4707,0,2938,2664,2845,0,6515,2137
166,510,317,208,302,145,0,342,290,276,473,225,3,365,123
167,206,60,70,0,57,0,109,49,60,52,42,0,182,61
168,2552,0,1261,884,1102,1,3600,1110,998,874,1236,0,0,1190
